No	k_macropore_multp	k_soil_multp	theta_sat_multp	aquiferBaseflowExp_multp	aquiferBaseflowRate_multp	qSurfScale_multp	summerLAI_multp	frozenPrecipMultip_multp	routingGammaScale_multp	routingGammaShape_multp	Fcapil_multp	thickness_multp	-KGE
66	3.98E+01	1.59E+00	1.05E+00	3.17E+00	3.14E-01	6.03E-01	1.51E+00	6.87E-01	6.38E+00	8.93E-01	1.33E+00	4.76E+00	-2.83E-02
67	2.13E+00	4.15E+00	1.49E+00	3.75E+00	5.50E+01	8.44E-01	1.47E+00	1.33E+00	4.30E+00	8.58E-01	5.09E-01	1.46E+00	-2.48E-01
68	6.97E+01	6.76E-01	1.38E+00	3.44E+00	5.50E+00	1.52E+00	1.66E+00	9.53E-01	9.72E+00	1.13E+00	2.37E-01	7.18E+00	3.28E-01
69	1.30E+01	3.61E+00	9.34E-01	3.94E+00	7.30E+01	1.88E+00	1.36E+00	1.25E+00	5.18E+00	9.57E-01	8.76E-01	5.20E-01	-2.50E-01
70	8.07E+01	6.56E+00	1.43E+00	1.54E+00	5.99E+00	2.52E-01	1.42E+00	1.26E+00	2.10E+00	8.95E-01	7.82E-01	1.93E+00	-5.23E-01
71	9.97E+01	6.51E+00	1.31E+00	4.86E+00	7.42E+01	1.52E+00	3.14E+00	1.37E+00	2.63E+00	8.42E-01	1.12E+00	7.26E+00	-2.10E-01
72	1.25E+01	6.67E+00	1.25E+00	4.22E+00	4.57E+01	1.58E+00	5.08E-01	9.79E-01	6.04E+00	1.19E+00	8.01E-01	5.62E+00	-6.32E-02
73	1.71E+01	4.07E+00	1.42E+00	4.81E+00	9.05E+01	1.56E+00	2.76E+00	1.47E+00	1.21E+00	8.66E-01	1.30E+00	1.28E+00	-1.88E-01
74	4.65E+01	3.44E+00	1.29E+00	1.12E+00	7.35E+01	1.83E+00	5.21E-01	1.36E+00	8.45E+00	1.11E+00	1.20E+00	2.26E+00	-4.61E-01
75	5.71E+01	6.02E+00	1.35E+00	1.27E+00	8.18E+01	4.23E-01	3.11E+00	1.49E+00	7.68E+00	1.13E+00	1.59E+00	4.96E+00	-3.69E-01
